,Actual,Predicted
323,[4.   2.4  0.37],[2.7972517  2.8441925  0.95085466]
324,[0.8  2.4  0.77],[0.5964041 2.4715347 1.37549  ]
325,[4.   1.6  1.97],[1.2710547 1.6609471 1.806159 ]
326,[4.   4.   1.97],[3.8865902  4.97909    0.74408317]
327,[2.4  0.8  0.97],[2.4628534  1.7201614  0.58429706]
328,[4.   0.8  1.37],[3.5105119 0.        1.5370898]
329,[3.2  3.2  1.17],[3.7896423  3.5519724  0.95044994]
330,[4.   4.   1.17],[3.8866944 4.977929  0.7444258]
331,[2.4  4.   0.37],[2.0960264  4.6059475  0.05111331]
332,[3.2  0.8  2.17],[3.000155  1.3436575 1.5899336]
333,[2.4  2.4  0.57],[2.236954  3.4102826 1.2419249]
334,[3.2  0.8  0.57],[3.1870267 0.4390509 1.6762816]
335,[0.8  3.2  1.17],[0.7033911 2.4098654 1.8936831]
336,[0.8  2.4  0.77],[1.0828326 2.7036562 1.1883945]
337,[0.8  1.6  1.77],[0.69623137 2.561805   1.5023863 ]
338,[4.   0.8  0.37],[3.5643666 0.        1.535492 ]
339,[4.   4.   2.17],[3.8865838 4.9794188 0.7439694]
340,[0.8  3.2  1.57],[0.95978045 2.1790853  1.8881259 ]
341,[4.   4.   0.97],[3.8864124 4.9800196 0.7438187]
342,[1.6  4.   1.97],[2.3501935 4.377927  1.1404954]
343,[0.8  4.   1.77],[0.68650055 2.2034068  1.7679441 ]
344,[2.4  3.2  1.37],[2.3696043 3.3286633 0.5550619]
345,[0.8  2.4  0.17],[1.9720477 2.8838143 1.0687764]
346,[4.   1.6  1.97],[1.3772836 1.1936189 1.8070923]
347,[3.2  0.8  1.17],[3.050355  0.8305963 1.5553133]
348,[4.   1.6  0.77],[3.3430371 0.6167383 1.5637178]
349,[4.   0.8  1.97],[3.555587  0.        1.4352913]
350,[0.8  1.6  0.57],[0.6240318 2.3219697 1.1510978]
351,[1.6  4.   0.97],[2.2872534 4.6842923 1.060506 ]
352,[4.   3.2  0.77],[4.083801  3.9978008 0.9468793]
353,[2.4  3.2  0.97],[2.694004  3.51623   0.7687955]
354,[2.4  0.8  0.17],[2.486323   1.7237675  0.44921798]
355,[3.2  1.6  2.17],[2.090576  3.452456  1.1853316]
356,[2.4  0.8  0.17],[2.4986758  1.7447052  0.44175154]
357,[2.4  4.   0.37],[2.1501145  4.6482697  0.05586755]
358,[0.8  1.6  0.77],[0.62310004 2.3783011  1.1725595 ]
359,[1.6  2.4  0.17],[2.4169366 2.8977983 0.9430673]
360,[0.8  3.2  1.17],[0.6953685 2.4106503 1.9285381]
361,[1.6  0.8  1.37],[1.2196345 0.7678652 1.6321824]
362,[2.4  2.4  1.97],[2.2026129 3.142064  1.3013558]
363,[0.8  4.   1.97],[1.6944366 2.086843  1.5590699]
364,[1.6  4.   0.37],[2.3132925 4.597311  1.0764054]
365,[0.8  4.   1.97],[2.5646043 1.5902605 1.4728266]
366,[2.4  0.8  2.17],[2.666432  1.9295992 1.4052271]
367,[0.8  2.4  2.17],[1.0497856 1.900192  1.8669796]
368,[1.6  2.4  2.17],[2.2380607 2.5707815 1.1610808]
369,[3.2  1.6  0.37],[2.4672794 1.7160203 1.5377102]
370,[1.6  3.2  1.37],[1.875192   4.074286   0.98690134]
371,[0.8  2.4  0.57],[1.0492058 2.649732  1.2546933]
372,[1.6  4.   1.17],[2.2985196 4.6295433 1.0708536]
373,[1.6  2.4  0.97],[2.6978004 2.5054483 1.0923897]
374,[4.   2.4  0.37],[1.9984725 2.6940722 1.0653528]
375,[1.6  3.2  0.77],[2.0554175 3.5535402 1.1606429]
376,[0.8  4.   2.17],[0.641536  3.321649  1.6270018]
377,[2.4  1.6  1.57],[2.32981   2.175851  1.3939973]
378,[3.2  2.4  0.77],[2.829821  2.3607416 1.1394451]
379,[3.2  0.8  1.97],[3.1429424  0.54082274 1.6375823 ]
380,[3.2  2.4  0.37],[2.4460192 1.7958627 1.5012896]
381,[3.2  3.2  0.17],[3.4307907  4.2376304  0.63458705]
382,[1.6  1.6  0.97],[2.540882  2.1799302 1.0444517]
383,[4.   2.4  0.37],[1.2312496 2.6852021 1.211317 ]
384,[4.   4.   0.57],[3.875792  5.032778  0.7291031]
385,[3.2  0.8  0.77],[2.9273946 1.1164811 1.4705403]
386,[3.2  4.   0.57],[3.8252807 5.3235073 0.6360189]
